,Name,Rating,Reviews,Salary,Interviews,Jobs,Benefits
0,TCS,3.8,73.3,853.6,6.2,924.0,11.5
1,Accenture,4.0,46.5,585.0,4.4,13.1,7.1
2,Cognizant,3.9,41.8,561.3,3.7,454.0,5.8
3,Wipro,3.8,39.3,427.3,3.7,394.0,5.0
4,Capgemini,3.9,34.1,416.1,2.9,721.0,4.0
5,HDFC Bank,4.0,34.0,132.3,1.6,336.0,3.2
6,ICICI Bank,4.0,33.6,143.6,1.9,212.0,3.7
7,Infosys,3.8,31.9,461.9,4.8,1.0,5.1
8,HCLTech,3.7,28.6,294.2,2.5,364.0,4.1
9,Tech Mahindra,3.7,27.7,250.9,2.4,1.1,3.6
10,Genpact,3.9,26.3,191.6,2.0,859.0,3.7
11,Axis Bank,3.9,22.1,98.2,1.1,307.0,2.2
12,Teleperformance,3.6,22.0,84.0,1.3,388.0,2.0
13,Concentrix Corporation,3.9,21.8,105.5,1.1,112.0,3.3
14,Jio,4.0,20.6,67.6,1.2,189.0,2.6
15,Amazon,4.1,20.5,123.9,3.4,713.0,4.2
16,IBM,4.1,19.7,221.3,1.5,3.3,2.7
17,Reliance Retail,4.0,18.8,59.8,1.1,290.0,2.0
18,HDB Financial Services,4.0,18.2,50.4,595.0,102.0,1.5
19,Larsen & Toubro Limited,4.1,16.7,100.8,1.0,158.0,2.9
20,Vodafone Idea,4.2,15.4,59.5,438.0,333.0,2.0
21,BYJU'S,3.1,14.6,59.2,1.8,880.0,1.9
22,Kotak Mahindra Bank,3.8,14.3,78.3,742.0,145.0,1.3
23,Deloitte,3.9,13.9,176.3,1.6,304.0,2.5
24,Reliance Industries,4.1,13.7,65.7,948.0,43.0,1.9
25,iEnergizer,4.6,12.8,18.0,314.0,103.0,522.0
26,Bharti Airtel,4.1,12.3,44.2,579.0,364.0,1.6
27,Tata Motors,4.2,10.5,43.1,711.0,49.0,1.7
28,WNS,3.5,9.7,54.6,720.0,132.0,1.4
29,Flipkart,4.1,9.3,46.4,979.0,364.0,1.5
30,IndusInd Bank,3.7,9.2,46.2,421.0,418.0,800.0
31,Ernst & Young,3.6,8.9,124.2,767.0,1.8,1.3
32,AU Small Finance Bank,4.5,8.8,18.3,303.0,159.0,488.0
33,Mahindra & Mahindra,4.2,8.7,37.5,476.0,59.0,1.3
34,Infosys BPM,3.8,8.4,58.4,681.0,127.0,1.2
35,DXC Technology,3.8,8.3,82.4,574.0,91.0,1.2
36,IDFC FIRST Bank,4.0,8.2,41.2,444.0,111.0,721.0
37,Conneqt Business Solutions,3.8,7.8,25.5,327.0,489.0,803.0
38,LTIMindtree,3.7,7.7,95.4,951.0,40.0,851.0
39,HDFC Life,4.1,7.7,29.3,426.0,165.0,636.0
40,Bajaj Finserv,4.0,7.5,25.6,339.0,61.0,750.0
